LEAD_ID;NOME LEAD;ETAPA;FUNIL;EVENTO;TEMPERATURA;DATA DESCARTE;MOTIVO DESCARTE;DATA DE CRIACAO;DATA ULTIMA ATUALIZACAO;EMAIL PRE-VENDEDOR;PRE-VENDEDOR;CICLO;CICLO ATUAL;VENDEDOR;EMAIL VENDEDOR;USUARIO_ACAO
33809050;Tornogran Industria e Comercio ;Levantamento de Necessidades;Padrão;;;;;14/04/2025 13:31:46;16/06/2025 18:58:00;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809050;Tornogran Industria e Comercio ;Dados Validados;Padrão;;;;;14/04/2025 13:31:46;27/05/2025 15:05:16;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809050;Tornogran Industria e Comercio ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:46;14/04/2025 13:31:46;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809051;Kalenborn do Brasil ;Dados Validados;Padrão;Pré Qualificação;Morna;;;14/04/2025 13:31:46;27/05/2025 11:51:09;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809051;Kalenborn do Brasil ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:46;14/04/2025 13:31:46;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809052;Steinert Latinoamericana Tecnologia de Separacao ;Dados Validados;Padrão;;;;;14/04/2025 13:31:46;27/05/2025 15:05:08;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809052;Steinert Latinoamericana Tecnologia de Separacao ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:46;14/04/2025 13:31:46;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809053;Fabricare - Pecas e Implementos Para Tratores ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:46;14/04/2025 13:31:46;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809053;Fabricare - Pecas e Implementos Para Tratores ;Dados Validados;Padrão;;;;;14/04/2025 13:31:46;27/05/2025 15:05:22;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809054;Pw Hidropneumatica ;Dados Validados;Padrão;;;;;14/04/2025 13:31:46;27/05/2025 15:05:32;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809054;Pw Hidropneumatica ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:46;14/04/2025 13:31:46;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809055;Boiler e Mill ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:49;14/04/2025 13:31:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809055;Boiler e Mill ;Dados Validados;Padrão;;;;;14/04/2025 13:31:49;27/05/2025 15:05:40;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809056;Amcol Cetco do Brasil Servicos e Produtos de Construcao ;Dados Validados;Padrão;;;;;14/04/2025 13:31:49;27/05/2025 15:05:47;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809056;Amcol Cetco do Brasil Servicos e Produtos de Construcao ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:49;14/04/2025 13:31:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809057;Italbronze ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:49;14/04/2025 13:31:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809057;Italbronze ;Dados Validados;Padrão;;;;;14/04/2025 13:31:49;27/05/2025 15:05:54;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809058;Agf Equipamentos;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:49;14/04/2025 13:31:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
