LEAD_ID;NOME LEAD;PRÉ VENDEDOR ATUAL;PRODUTO;ORIGEM;MERCADO;SUB-ORIGEM;TELEFONES;TEL PRINCIPAL;SITE;OBSERVACAO;LINK PUBLICO; LINK RD;CPF/CNPJ;ENDEREÇO;END-NUMERO;END-COMPLEMENTO;END-BAIRRO;END-CEP;END-PAIS;END-ESTADO;END-CIDADE;DATA CADASTRO;DATA ULTIMA ATUALIZACAO;USUARIO CADASTRO;EMAIL USUARIO CADASTRO;ETAPA ATUAL;FUNIL;DATA VENDA
33809051;Kalenborn do Brasil ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 3134994034, (+55) 3134994000;3134994034;kalenborn.com.br/;CNPJ: 04921141000106, Razão Social: KALENBORN DO BRASIL LTDA, Data de Abertura: 22/02/2002, Outros emails: venancioscontabil@gmail.com, nfe@kalenborn.com.br, Sócios: Luiz Antonio De Campos, Kalenborn International Gmbh & Co. Kg, CNAE primário: 2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, LinkedIn: https://www.linkedin.com/company/kalenborn-do-brasil, Optante pelo SIMPLES: Não, Facebook: https://www.facebook.com/kalenborndobrasil;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTEmZWNpZD0xNzg3OQ2;;04921141000106;ANTIGA BH-PEDRO LEOPOLDO, Nº 1150;;GALPAO3 E 4;;33206220;Brasil;Minas Gerais;Vespasiano;14/04/2025 13:31:46;28/05/2025 11:39:34;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809055;Boiler e Mill ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 3532121000, (+55) 3536069999;3532121000;www.boilermill.com.br/;CNPJ: 26025395000170, Razão Social: BOILER E MILL LTDA, Data de Abertura: 30/08/1989, Outros emails: boillermil@boilermill.com.br, eduardo.valim@boilermill.com.br, nfe@boilermill.com.br, Sócios: Keila Regina Valim Lopes, Kenia Cristina Valin Martins, Eduardo Jose Valim, CNAE primário: 2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, LinkedIn: https://br.linkedin.com/company/boiler-e-mill-ltda, Optante pelo SIMPLES: Sim;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTUmZWNpZD0xNzg3OQ2;;26025395000170;DR. MESSIAS BARROS, Nº 1000;;;;37066070;Brasil;Minas Gerais;Varginha;14/04/2025 13:31:49;27/05/2025 15:05:40;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809052;Steinert Latinoamericana Tecnologia de Separacao ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 3125196200, (+55) 3133727560;3125196200;steinertglobal.com/;CNPJ: 08651835000113, Razão Social: STEINERT LATINOAMERICANA TECNOLOGIA DE SEPARACAO LTDA, Data de Abertura: 07/02/2007, Outros emails: steinert@steinert.com.br, processos@contaliza.com.br, Sócios: Steinert Gmbh, Steinert Australia Pty Ltd, Vinicius Souto Morais Reis, CNAE primário: 2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 50 à 99 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, LinkedIn: https://www.linkedin.com/company/steinert-latinoamericana/, Optante pelo SIMPLES: Não;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTImZWNpZD0xNzg3OQ2;;08651835000113;LINCOLN DIOGO VIANA, Nº 510;;GALPAO01;;33250490;Brasil;Minas Gerais;Pedro Leopoldo;14/04/2025 13:31:46;27/05/2025 15:05:08;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809054;Pw Hidropneumatica ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 19338019500, (+55) 1121298950;19338019500;pwhidro.com.br;CNPJ: 61955761000191, Razão Social: PW HIDROPNEUMATICA LTDA, Data de Abertura: 22/11/1989, Outros emails: assertac@terra.com.br, pwhidro@pwhidro.com.br, Sócios: Paulo Ismael Wolf, Paulo Cesar Wolf, Gilberto Adriano Wolf, CNAE primário:2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EMP - Empresa de Médio Porte, Faixa de Funcionários: De 100 à 249 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: NULL, Instagram: NULL, X: NULL, LinkedIn: https://br.linkedin.com/company/pw-hidropneum%C3%A1tica-ltda, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTQmZWNpZD0xNzg3OQ2;;61955761000191;ANTONIO BARNABE, Nº 652;;;;13347340;Brasil;São Paulo;Indaiatuba;14/04/2025 13:31:46;27/05/2025 15:05:32;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809059;Maisontech Engenharia de Sistemas de Moagem e Britagem ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 4998356294, (+55) 49998356294;4998356294;maisontech.ind.br/;CNPJ: 35519060000108, Nome Fantasia: MAISONTECH, Razão Social: MAISONTECH ENGENHARIA DE SISTEMAS DE MOAGEM E BRITAGEM LTDA, Data de Abertura: 14/11/2019, Outros sites: maisontech.ind.br, maisontech3.tempsite.ws, Outros emails: paulo@maisontech.com.br, vendas@maisontech.com.br, zalmon@maisontech.com.br, Sócios: Gilearde Salvador Dariva, CNAE primário: 2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: https://m.facebook.com/people/Maisontech/100083200247245/, Optante pelo SIMPLES: Sim;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTkmZWNpZD0xNzg3OQ2;;35519060000108;BENJAMIN CONSTANT, Nº 3085-D;;APT 102;;89801230;Brasil;Santa Catarina;Chapecó;14/04/2025 13:31:49;27/05/2025 15:06:00;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809058;Agf Equipamentos;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 1938885800, (+55) 1938885800, (+55) 1126751446;1938885800;agfequipamentos.com.br/;CNPJ: 11681470000184, Nome Fantasia: AGF EQUIPAMENTOS, Razão Social: AGF IMPORTACAO, EXPORTACAO E COMERCIALIZACAO DE MAQUINAS E ACESSORIOS LTDA, Data de Abertura: 11/03/2010, Outros emails: financeiro@agfequipamentos.com.br, contato@agfequipamentos.com.br, andre.filho@agfequipamentos.com.br, bruno.lamas@agfequipamentos.com.br, alexandre.souza@agfequipamentos.com.br, Sócios: Alex Bertoldo Pacheco, Andre Garcia De Sousa Filho, CNAE primário: 2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: https://www.facebook.com/agfequipamentos/?locale=pt_BR, LinkedIn: https://br.linkedin.com/company/agfequipamentos, Optante pelo SIMPLES: Não;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTgmZWNpZD0xNzg3OQ2;;11681470000184;SP 346, Nº S/N;;KM 202.5;;13990000;Brasil;São Paulo;Espírito Santo do Pinhal;14/04/2025 13:31:49;08/05/2025 12:02:59;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809050;Tornogran Industria e Comercio ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 2737321266, (+55) 2737328596;2737321266;tornogran.com.br;CNPJ: 07213686000148, Nome Fantasia: TORNOGRAN, Razão Social: TORNOGRAN INDUSTRIA E COMERCIO LTDA, Data de Abertura: 03/02/2005, Sócios: Maria Aurea Dominicini Moreira, Jose Romildo Moreira Dias, CNAE primário:2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTAmZWNpZD0xNzg3OQ2;;07213686000148;PROJETADA H, Nº SN;;QUADRA: 01- LOTE: 01 E 02-;;29730000;Brasil;Espírito Santo;Baixo Guandu;14/04/2025 13:31:46;16/06/2025 18:58:00;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Levantamento de Necessidades;Padrão;
33809057;Italbronze ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 1124362900, (+55) 1196443933;1124362900;www.italbronze.com.br/;CNPJ: 61535381000106, Razão Social: ITALBRONZE LTDA, Data de Abertura: 04/08/1966, Outros emails: compras@italbronze.com.br, suporteti@italbronze.com.br, rh@italbronze.com.br, norma@italbronze.com.br, vendas@italbronze.com.br, diretoria@italbronze.com.br, juridico@italbronze.com.br, Sócios: Jaime Ortiz Jimenez, Rosalba Maestripieri Ortiz, Silvana Maestripieri Perez, CNAE primário: 2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EMP - Empresa de Médio Porte, Faixa de Funcionários: De 250 à 499 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: https://m.facebook.com/profile.php?id=1375497279351633, LinkedIn: https://br.linkedin.com/company/italbronze-brasil, Optante pelo SIMPLES: Não;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTcmZWNpZD0xNzg3OQ2;;61535381000106;TAMOTSU IWASSE, Nº 1415;;;;07176000;Brasil;São Paulo;Guarulhos;14/04/2025 13:31:49;27/05/2025 15:05:54;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809056;Amcol Cetco do Brasil Servicos e Produtos de Construcao ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 2221417331, (+55) 2227726421;2221417331;;CNPJ: 09267492000150, Razão Social: AMCOL CETCO DO BRASIL SERVICOS E PRODUTOS DE CONSTRUCAO LTDA, Data de Abertura: 28/11/2007, Outros emails: ALBERTO.SEVERO@MINERALSTECH.COM, Sócios: Colloid Environmental Technologies Company, Volclay International Corporation, Daniel Montes Delgado, CNAE primário:2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: https://www.facebook.com/AMCOL-CETCO-DO-BRASIL-SERVI%C3%87OS-E-PRODUTOS-DE-CONSTRU%C3%87%C3%83O-LTDA-100000000000000/, Instagram: NULL, X: NULL, LinkedIn: https://www.linkedin.com/company/amcol-cetco-do-brasil/, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTYmZWNpZD0xNzg3OQ2;;09267492000150;LADY ESTEVES DA CONCEICAO, Nº 540;; PARTE;;27933420;Brasil;Rio de Janeiro;Macaé;14/04/2025 13:31:49;27/05/2025 15:05:47;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
33809053;Fabricare - Pecas e Implementos Para Tratores ;Marcos Oliveira;;Prospecção Ativa;Indústria;;(+55) 3136414300, (+55) 3197181823;3136414300;fabricare.ind.br/;CNPJ: 37876881000119, Nome Fantasia: FABRICARE, Razão Social: FABRICARE - PECAS E IMPLEMENTOS PARA TRATORES LTDA, Data de Abertura: 28/07/2020, Sócios: Marina Sabino Procopio, CNAE primário: 2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Optante pelo SIMPLES: Não, Facebook: https://www.facebook.com/fabricare.ind/about/, LinkedIn: https://br.linkedin.com/company/fabricare-ltda, Outros emails: stela@tbm.com.br;https://app.exactspotter.com/public/aWQ9MzM4MDkwNTMmZWNpZD0xNzg3OQ2;;37876881000119;DAS INDUSTRIAS, Nº 3428;;;;33030510;Brasil;Minas Gerais;Santa Luzia;14/04/2025 13:31:46;27/05/2025 15:05:22;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
